customer,state,response,coverage,education,employment_status,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
QA41472,Oregon,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer3,Branch,Medium-Class Car,Medsize
OZ92426,Oregon,No,Basic,Bachelor or College,Employed,Urban,Single,Corporate,Offer4,Branch,Normal Car,Medsize
UM69933,Nevada,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Branch,Normal Car,Large
RQ11502,Nevada,No,Extended,Bachelor or College,Other status,Suburban,Married,Corporate,Offer1,Agent,Medium-Class Car,Small
TX98128,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Large
XY52165,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Medsize
GB39003,California,No,Extended,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Medsize
VH43367,California,No,Basic,High School or Below,Employed,Suburban,Married,Special,Offer1,Agent,Normal Car,Medsize
KG81168,Arizona,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer3,Agent,Normal Car,Medsize
WU14549,Nevada,No,Premium,Doctor or Master,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Medsize
XB17553,Nevada,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Agent,Medium-Class Car,Small
MY88518,Nevada,Yes,Extended,Doctor or Master,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Medsize
XE18554,California,No,Extended,Bachelor or College,Other status,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
NY97446,Oregon,No,Basic,High School or Below,Employed,Urban,Married,Corporate,Offer2,Branch,Normal Car,Medsize
VT96364,California,No,Premium,Bachelor or College,Employed,Rural,Single,Personal,Offer1,Agent,Normal Car,Small
ZY20779,Washington,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer2,Agent,Normal Car,Medsize
NN65845,Washington,No,Basic,Bachelor or College,Other status,Suburban,Married,Personal,Offer4,Branch,Normal Car,Large
VC54081,Oregon,No,Basic,Bachelor or College,Unemployed,Rural,Married,Special,Offer1,Branch,Normal Car,Medsize
CE94751,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Branch,Normal Car,Medsize
VM85856,Oregon,Yes,Basic,Doctor or Master,Employed,Rural,Single,Personal,Offer2,Web,Normal Car,Medsize
EH37385,Arizona,No,Basic,Doctor or Master,Employed,Suburban,Married,Personal,Offer1,Call Center,Medium-Class Car,Medsize
FI45719,Arizona,No,Basic,Doctor or Master,Employed,Urban,Married,Personal,Offer3,Agent,Normal Car,Medsize
SB79528,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Corporate,Offer2,Branch,Normal Car,Medsize
WH81461,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer3,Branch,Medium-Class Car,Medsize
UD47050,Oregon,Yes,Extended,High School or Below,Employed,Suburban,Single,Corporate,Offer1,Agent,Normal Car,Medsize
XZ17273,Nevada,No,Basic,Bachelor or College,Employed,Rural,Married,Corporate,Offer2,Web,Normal Car,Medsize
XR97812,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Medsize
BW88060,California,No,Basic,High School or Below,Other status,Suburban,Married,Personal,Offer1,Call Center,Medium-Class Car,Medsize
CP32818,Oregon,No,Basic,Bachelor or College,Employed,Rural,Single,Personal,Offer2,Agent,Medium-Class Car,Small
CM52565,Nevada,No,Extended,High School or Below,Unemployed,Suburban,Single,Corporate,Offer2,Call Center,Normal Car,Medsize
YP40334,Oregon,No,Premium,Doctor or Master,Unemployed,Rural,Single,Personal,Offer2,Web,Medium-Class Car,Medsize
KD63998,California,Yes,Basic,Bachelor or College,Employed,Suburban,Single,Personal,Offer2,Call Center,Normal Car,Small
VC77127,California,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer4,Call Center,Normal Car,Medsize
AM30008,California,No,Basic,High School or Below,Employed,Suburban,Single,Personal,Offer4,Web,Luxury Car,Medsize
PC83755,Oregon,Yes,Basic,High School or Below,Employed,Rural,Married,Personal,Offer2,Agent,Normal Car,Medsize
XS22323,Arizona,Yes,Extended,High School or Below,Employed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Medsize
YM43461,Washington,No,Premium,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Large
BH23017,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Branch,Normal Car,Small
OD18225,California,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Agent,Normal Car,Medsize
VE31507,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer2,Web,Normal Car,Medsize
NR18672,Nevada,No,Basic,High School or Below,Employed,Rural,Married,Personal,Offer4,Agent,Normal Car,Large
DM76654,California,No,Extended,Bachelor or College,Employed,Suburban,Single,Personal,Offer2,Branch,Medium-Class Car,Large
YY11432,Oregon,No,Extended,High School or Below,Employed,Rural,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
BD77090,Washington,Yes,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer2,Branch,Medium-Class Car,Medsize
XA75063,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Divorced,Personal,Offer1,Agent,Medium-Class Car,Medsize
PQ13422,Nevada,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Web,Normal Car,Small
NA89685,Oregon,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Agent,Normal Car,Medsize
AL35726,Oregon,Yes,Extended,Bachelor or College,Employed,Rural,Married,Personal,Offer2,Call Center,Normal Car,Large
WO70078,Oregon,No,Extended,Bachelor or College,Employed,Rural,Divorced,Personal,Offer1,Branch,Normal Car,Medsize
CA56041,Nevada,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer3,Call Center,Medium-Class Car,Small
HI41970,Oregon,No,Basic,High School or Below,Employed,Rural,Married,Special,Offer2,Call Center,Normal Car,Medsize
AU46443,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Medium-Class Car,Medsize
WC35554,Oregon,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer1,Call Center,Medium-Class Car,Medsize
JR10216,California,No,Basic,Bachelor or College,Other status,Suburban,Married,Corporate,Offer4,Web,Normal Car,Small
OH11674,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Divorced,Corporate,Offer1,Branch,Normal Car,Small
US85318,Oregon,No,Basic,Bachelor or College,Employed,Urban,Divorced,Corporate,Offer2,Call Center,Normal Car,Medsize
FS19862,Arizona,No,Basic,Bachelor or College,Other status,Suburban,Married,Personal,Offer3,Call Center,Medium-Class Car,Small
ZP80713,Arizona,No,Basic,Doctor or Master,Employed,Urban,Divorced,Personal,Offer3,Branch,Normal Car,Medsize
OK50159,Arizona,No,Basic,Bachelor or College,Employed,Rural,Single,Personal,Offer2,Call Center,Medium-Class Car,Small
TP54769,California,No,Extended,Bachelor or College,Employed,Urban,Divorced,Corporate,Offer1,Web,Medium-Class Car,Medsize
FS49381,Oregon,No,Basic,Bachelor or College,Employed,Urban,Divorced,Personal,Offer3,Agent,Normal Car,Medsize
DQ79499,Oregon,No,Extended,Doctor or Master,Employed,Suburban,Married,Personal,Offer1,Branch,Medium-Class Car,Medsize
NM62724,Washington,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer3,Branch,Normal Car,Medsize
VO25602,Nevada,No,Extended,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Branch,Normal Car,Small
EP93369,Arizona,No,Extended,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer2,Branch,Medium-Class Car,Medsize
DQ45854,Oregon,No,Basic,Bachelor or College,Employed,Rural,Single,Personal,Offer2,Branch,Normal Car,Medsize
QG15661,Oregon,No,Basic,Bachelor or College,Employed,Rural,Divorced,Personal,Offer4,Call Center,Normal Car,Medsize
YA80645,Oregon,No,Basic,High School or Below,Employed,Urban,Divorced,Corporate,Offer2,Agent,Normal Car,Medsize
TW16499,California,No,Extended,Bachelor or College,Employed,Suburban,Married,Corporate,Offer4,Call Center,Normal Car,Small
UP97629,California,No,Extended,Bachelor or College,Unemployed,Urban,Married,Personal,Offer3,Web,Normal Car,Medsize
NU42684,Nevada,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Web,Normal Car,Medsize
FS42690,Washington,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Medsize
BM69818,Oregon,No,Extended,Bachelor or College,Unemployed,Suburban,Divorced,Personal,Offer1,Call Center,Normal Car,Large
HK15299,California,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer2,Agent,Normal Car,Medsize
NP88496,Nevada,No,Basic,High School or Below,Unemployed,Suburban,Married,Personal,Offer3,Agent,Normal Car,Large
SB99002,Oregon,No,Basic,Bachelor or College,Employed,Rural,Married,Corporate,Offer4,Call Center,Normal Car,Medsize
VW82067,Washington,Yes,Basic,Doctor or Master,Employed,Suburban,Married,Personal,Offer2,Agent,Normal Car,Small
JG30837,Oregon,No,Basic,Bachelor or College,Other status,Suburban,Divorced,Corporate,Offer4,Web,Medium-Class Car,Medsize
AC22873,Arizona,No,Extended,High School or Below,Other status,Suburban,Married,Special,Offer1,Agent,Medium-Class Car,Medsize
RO85831,Oregon,No,Basic,High School or Below,Employed,Suburban,Single,Corporate,Offer4,Agent,Luxury Car,Medsize
WT71621,Washington,No,Extended,Bachelor or College,Employed,Urban,Married,Personal,Offer2,Web,Normal Car,Medsize
OF24813,Washington,No,Basic,High School or Below,Employed,Urban,Married,Personal,Offer2,Branch,Medium-Class Car,Medsize
GH31557,California,No,Basic,High School or Below,Employed,Suburban,Divorced,Personal,Offer2,Web,Normal Car,Small
WI89081,Washington,No,Extended,Bachelor or College,Employed,Urban,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
IO27771,Oregon,No,Premium,Bachelor or College,Employed,Suburban,Married,Corporate,Offer1,Branch,Normal Car,Small
HB99061,Arizona,No,Extended,High School or Below,Employed,Rural,Married,Corporate,Offer4,Branch,Medium-Class Car,Medsize
HQ82089,Arizona,No,Premium,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Branch,Normal Car,Medsize
JN72184,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Divorced,Corporate,Offer1,Branch,Normal Car,Medsize
WQ46946,California,No,Extended,Bachelor or College,Employed,Urban,Married,Personal,Offer1,Branch,Normal Car,Medsize
WJ44028,California,No,Extended,Doctor or Master,Employed,Suburban,Married,Personal,Offer2,Web,Normal Car,Medsize
WH77063,Arizona,No,Premium,High School or Below,Employed,Suburban,Married,Personal,Offer4,Agent,Normal Car,Small
FI13966,Oregon,No,Premium,High School or Below,Employed,Suburban,Married,Personal,Offer3,Branch,Luxury Car,Small
AQ46199,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer4,Web,Normal Car,Medsize
WV69362,Arizona,No,Extended,High School or Below,Unemployed,Suburban,Single,Corporate,Offer2,Call Center,Normal Car,Medsize
RJ90816,California,No,Extended,Bachelor or College,Employed,Rural,Married,Personal,Offer2,Call Center,Normal Car,Small
NH19236,Arizona,No,Basic,Doctor or Master,Unemployed,Urban,Married,Personal,Offer2,Branch,Normal Car,Medsize
VW88911,Oregon,No,Premium,High School or Below,Unemployed,Suburban,Single,Corporate,Offer1,Branch,Normal Car,Large
NV14535,Nevada,Yes,Basic,High School or Below,Other status,Suburban,Divorced,Personal,Offer1,Branch,Medium-Class Car,Medsize
BM66931,Arizona,No,Basic,High School or Below,Employed,Urban,Married,Personal,Offer2,Web,Medium-Class Car,Medsize
JW24035,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer2,Branch,Normal Car,Medsize
PG82270,California,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer4,Branch,Normal Car,Small
RW65101,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer3,Web,Normal Car,Medsize
QO79771,California,No,Extended,Doctor or Master,Employed,Rural,Married,Personal,Offer2,Call Center,Normal Car,Small
EC44438,Nevada,No,Basic,Bachelor or College,Other status,Suburban,Married,Personal,Offer1,Branch,Normal Car,Small
MW54213,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
ZN33412,Arizona,No,Extended,Bachelor or College,Other status,Suburban,Single,Personal,Offer1,Branch,Normal Car,Medsize
HZ56678,Oregon,No,Basic,High School or Below,Other status,Suburban,Divorced,Personal,Offer4,Web,Normal Car,Large
AN36757,Oregon,No,Extended,Doctor or Master,Employed,Urban,Married,Personal,Offer2,Branch,Normal Car,Medsize
NB54665,Arizona,Yes,Basic,High School or Below,Employed,Rural,Single,Corporate,Offer2,Agent,Normal Car,Medsize
MG99229,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Corporate,Offer2,Agent,Luxury Car,Small
MX76292,California,No,Basic,Doctor or Master,Employed,Rural,Married,Corporate,Offer1,Agent,Normal Car,Medsize
EJ90880,California,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
WO95180,California,Yes,Basic,High School or Below,Other status,Suburban,Divorced,Corporate,Offer1,Branch,Normal Car,Medsize
BU53191,Arizona,No,Basic,Bachelor or College,Employed,Rural,Divorced,Personal,Offer1,Call Center,Medium-Class Car,Small
ZK54897,Arizona,Yes,Premium,Doctor or Master,Employed,Rural,Married,Personal,Offer1,Agent,Normal Car,Medsize
PP48389,California,No,Premium,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
XD29421,Oregon,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer3,Agent,Luxury Car,Large
OP26403,California,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Small
XK15687,Oregon,No,Extended,High School or Below,Employed,Rural,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
ED29955,California,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
QT84720,Oregon,No,Basic,Bachelor or College,Employed,Rural,Married,Corporate,Offer1,Branch,Normal Car,Large
ZH35315,California,No,Basic,Bachelor or College,Other status,Suburban,Married,Personal,Offer2,Branch,Normal Car,Large
EE76374,Nevada,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Web,Normal Car,Medsize
RF72106,Washington,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Branch,Normal Car,Small
BS13111,Arizona,No,Basic,Bachelor or College,Unemployed,Urban,Divorced,Personal,Offer1,Branch,Normal Car,Medsize
JP12645,Arizona,Yes,Basic,Bachelor or College,Employed,Suburban,Single,Personal,Offer1,Call Center,Medium-Class Car,Medsize
ZF28570,Nevada,No,Premium,Bachelor or College,Employed,Suburban,Single,Personal,Offer3,Agent,Normal Car,Medsize
UU93074,California,No,Premium,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Luxury Car,Medsize
SZ60450,California,No,Extended,High School or Below,Employed,Rural,Married,Personal,Offer3,Agent,Normal Car,Medsize
HL63895,Arizona,No,Basic,Doctor or Master,Employed,Urban,Married,Personal,Offer1,Branch,Normal Car,Medsize
UD27196,Arizona,No,Extended,High School or Below,Employed,Suburban,Married,Personal,Offer3,Branch,Luxury Car,Small
OU53351,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Married,Corporate,Offer4,Agent,Normal Car,Small
SX50964,Arizona,No,Basic,Bachelor or College,Employed,Urban,Married,Corporate,Offer2,Branch,Normal Car,Small
RP30093,Oregon,No,Premium,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
BK73302,California,No,Extended,Bachelor or College,Employed,Suburban,Divorced,Corporate,Offer2,Web,Normal Car,Medsize
CS93971,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Divorced,Personal,Offer1,Agent,Medium-Class Car,Small
RG13940,California,Yes,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Large
ZG94155,Oregon,No,Extended,Bachelor or College,Unemployed,Rural,Married,Personal,Offer1,Branch,Normal Car,Large
QN15356,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Branch,Normal Car,Large
MZ16820,Nevada,No,Premium,High School or Below,Employed,Suburban,Married,Corporate,Offer2,Call Center,Normal Car,Small
DO98345,Oregon,No,Extended,High School or Below,Employed,Urban,Married,Personal,Offer2,Web,Normal Car,Medsize
EQ69638,Washington,No,Extended,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer3,Branch,Normal Car,Small
UK76814,Oregon,No,Basic,Doctor or Master,Employed,Urban,Married,Personal,Offer2,Call Center,Normal Car,Medsize
SR30440,California,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Branch,Medium-Class Car,Medsize
XE66367,Oregon,Yes,Extended,High School or Below,Employed,Rural,Divorced,Special,Offer1,Agent,Normal Car,Medsize
SZ70655,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Corporate,Offer1,Agent,Normal Car,Large
LX99948,Washington,No,Basic,Doctor or Master,Employed,Urban,Married,Personal,Offer4,Branch,Medium-Class Car,Small
DK98861,Arizona,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer2,Call Center,Medium-Class Car,Medsize
JX14364,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Call Center,Medium-Class Car,Medsize
LI85491,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Agent,Medium-Class Car,Small
JY87538,Oregon,No,Basic,Bachelor or College,Employed,Urban,Single,Personal,Offer1,Web,Medium-Class Car,Medsize
VE55982,Nevada,No,Basic,Bachelor or College,Employed,Suburban,Divorced,Corporate,Offer1,Call Center,Normal Car,Medsize
WK99918,Oregon,Yes,Extended,Doctor or Master,Employed,Suburban,Married,Personal,Offer2,Branch,Medium-Class Car,Medsize
XP16538,Arizona,No,Basic,High School or Below,Employed,Urban,Divorced,Corporate,Offer2,Agent,Medium-Class Car,Small
HW42900,California,No,Extended,Bachelor or College,Employed,Suburban,Married,Corporate,Offer1,Web,Normal Car,Small
JG84729,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Call Center,Normal Car,Medsize
UX71137,Washington,No,Premium,Doctor or Master,Employed,Urban,Married,Personal,Offer2,Web,Normal Car,Medsize
ND29059,Oregon,No,Extended,Bachelor or College,Employed,Urban,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
HC76653,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Agent,Normal Car,Medsize
SG73822,California,No,Premium,Bachelor or College,Employed,Rural,Divorced,Personal,Offer2,Agent,Normal Car,Medsize
CB44654,Arizona,No,Basic,Bachelor or College,Employed,Urban,Single,Personal,Offer1,Agent,Normal Car,Medsize
MQ15074,Washington,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Medsize
YJ43481,Arizona,No,Basic,High School or Below,Employed,Urban,Single,Corporate,Offer1,Call Center,Medium-Class Car,Medsize
TP15362,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Divorced,Personal,Offer2,Branch,Normal Car,Medsize
YX90754,Nevada,No,Basic,High School or Below,Employed,Urban,Married,Personal,Offer2,Branch,Normal Car,Medsize
TQ32702,Nevada,No,Extended,Bachelor or College,Employed,Suburban,Married,Corporate,Offer3,Branch,Normal Car,Medsize
TS50305,California,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Agent,Medium-Class Car,Medsize
BY22068,Arizona,No,Extended,High School or Below,Employed,Suburban,Married,Corporate,Offer4,Agent,Luxury Car,Medsize
TJ48439,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer3,Branch,Normal Car,Small
TE61015,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer2,Web,Normal Car,Medsize
RD89159,Oregon,Yes,Premium,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Medsize
VW86720,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Call Center,Normal Car,Small
UM76485,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer2,Agent,Medium-Class Car,Medsize
LS62045,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer4,Web,Normal Car,Large
ZG84862,Nevada,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Branch,Normal Car,Small
CD76093,Nevada,No,Basic,Bachelor or College,Employed,Suburban,Married,Corporate,Offer4,Call Center,Luxury Car,Medsize
FO99259,California,No,Premium,Bachelor or College,Other status,Suburban,Divorced,Personal,Offer4,Call Center,Normal Car,Medsize
KN87338,Oregon,No,Basic,High School or Below,Employed,Rural,Married,Personal,Offer4,Branch,Normal Car,Medsize
LT89398,California,No,Extended,High School or Below,Unemployed,Suburban,Married,Personal,Offer4,Web,Normal Car,Small
NZ19529,Arizona,No,Extended,High School or Below,Unemployed,Suburban,Single,Personal,Offer2,Agent,Medium-Class Car,Medsize
PR41853,Arizona,No,Basic,Bachelor or College,Unemployed,Rural,Married,Corporate,Offer1,Agent,Medium-Class Car,Medsize
LH92841,Washington,No,Extended,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Branch,Normal Car,Medsize
XR84971,Oregon,No,Extended,Doctor or Master,Employed,Rural,Single,Personal,Offer1,Web,Normal Car,Medsize
BP83941,Arizona,No,Basic,Doctor or Master,Unemployed,Suburban,Married,Personal,Offer3,Web,Medium-Class Car,Medsize
PY80449,Arizona,No,Extended,High School or Below,Employed,Suburban,Married,Personal,Offer1,Branch,Medium-Class Car,Medsize
ET22260,Nevada,No,Extended,Doctor or Master,Unemployed,Rural,Single,Corporate,Offer1,Web,Normal Car,Medsize
OF47250,California,No,Basic,Doctor or Master,Employed,Rural,Divorced,Personal,Offer2,Call Center,Medium-Class Car,Medsize
WB58031,California,No,Basic,High School or Below,Employed,Suburban,Married,Corporate,Offer1,Branch,Normal Car,Medsize
UV80201,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Call Center,Medium-Class Car,Medsize
PY10605,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Medsize
JI82682,California,No,Basic,High School or Below,Unemployed,Suburban,Married,Personal,Offer1,Web,Normal Car,Medsize
BU14748,Arizona,No,Extended,High School or Below,Employed,Suburban,Married,Personal,Offer4,Agent,Normal Car,Medsize
QS75550,Washington,No,Basic,Bachelor or College,Employed,Urban,Single,Corporate,Offer1,Branch,Normal Car,Medsize
LD26428,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Corporate,Offer2,Branch,Normal Car,Medsize
MY43761,California,No,Extended,High School or Below,Employed,Suburban,Single,Personal,Offer2,Agent,Medium-Class Car,Large
LO77543,Washington,Yes,Basic,Bachelor or College,Employed,Suburban,Divorced,Special,Offer1,Agent,Normal Car,Medsize
GY55415,Nevada,No,Premium,Bachelor or College,Unemployed,Suburban,Single,Corporate,Offer1,Web,Medium-Class Car,Medsize
IB42395,Nevada,No,Premium,Bachelor or College,Unemployed,Suburban,Single,Corporate,Offer1,Agent,Medium-Class Car,Medsize
ZU74482,Oregon,Yes,Basic,Bachelor or College,Employed,Urban,Single,Personal,Offer2,Agent,Normal Car,Medsize
NL74789,California,No,Premium,Bachelor or College,Unemployed,Suburban,Single,Special,Offer1,Branch,Normal Car,Medsize
YU86594,Oregon,No,Basic,High School or Below,Employed,Rural,Married,Personal,Offer1,Branch,Normal Car,Medsize
QN37451,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Corporate,Offer1,Branch,Luxury Car,Medsize
HS28694,Washington,No,Basic,High School or Below,Employed,Rural,Married,Personal,Offer4,Branch,Normal Car,Medsize
IL83479,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Call Center,Normal Car,Medsize
EF87528,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Married,Special,Offer2,Agent,Normal Car,Medsize
IV74747,California,No,Extended,Doctor or Master,Unemployed,Suburban,Divorced,Corporate,Offer4,Web,Normal Car,Medsize
JZ81608,Oregon,No,Extended,High School or Below,Employed,Rural,Married,Personal,Offer4,Branch,Normal Car,Medsize
EO40136,Arizona,No,Basic,Bachelor or College,Employed,Urban,Divorced,Personal,Offer2,Web,Normal Car,Small
ZR40902,Oregon,No,Premium,Bachelor or College,Other status,Suburban,Married,Corporate,Offer1,Agent,Normal Car,Small
PO89542,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Medsize
FX57380,California,Yes,Basic,Bachelor or College,Employed,Urban,Divorced,Personal,Offer2,Web,Normal Car,Medsize
NM22175,Oregon,No,Premium,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer2,Branch,Medium-Class Car,Large
BC97773,Nevada,No,Basic,Doctor or Master,Employed,Suburban,Divorced,Personal,Offer1,Agent,Normal Car,Large
MN34012,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
KY29506,California,No,Premium,Bachelor or College,Employed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Small
LC44944,Washington,No,Premium,Doctor or Master,Unemployed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Small
HC20975,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Large
IF87079,Arizona,No,Basic,Doctor or Master,Employed,Rural,Divorced,Personal,Offer1,Agent,Normal Car,Medsize
EP18940,Oregon,No,Extended,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer1,Call Center,Normal Car,Medsize
SB44003,Arizona,Yes,Extended,Bachelor or College,Employed,Rural,Divorced,Personal,Offer2,Agent,Normal Car,Medsize
MK15785,Nevada,No,Basic,Doctor or Master,Employed,Suburban,Married,Corporate,Offer4,Call Center,Medium-Class Car,Medsize
VP89545,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer1,Web,Normal Car,Medsize
HJ58678,Nevada,No,Basic,Bachelor or College,Employed,Urban,Divorced,Personal,Offer3,Agent,Normal Car,Medsize
SH51981,Washington,No,Basic,Bachelor or College,Employed,Suburban,Divorced,Personal,Offer3,Agent,Normal Car,Small
IA52178,Arizona,No,Premium,Bachelor or College,Employed,Suburban,Married,Corporate,Offer4,Web,Medium-Class Car,Medsize
WC42895,California,No,Basic,Bachelor or College,Employed,Rural,Single,Personal,Offer2,Agent,Normal Car,Medsize
OP54725,Washington,No,Premium,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Small
YM77369,Oregon,No,Premium,High School or Below,Employed,Urban,Married,Corporate,Offer4,Web,Normal Car,Large
WV15213,California,No,Basic,Bachelor or College,Employed,Rural,Single,Personal,Offer1,Branch,Normal Car,Medsize
GX37592,Nevada,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Web,Normal Car,Medsize
PA48777,Washington,Yes,Basic,High School or Below,Other status,Suburban,Divorced,Personal,Offer1,Agent,Normal Car,Medsize
YJ59924,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Agent,Normal Car,Medsize
